,dataset,model_name,volume_id,samples,sncc,ged,iou_spleen,iou_liver,iou_mean,dice_spleen,dice_liver,dice_mean,surface_distance_prtogt_spleen,surface_distance_prtogt_liver,surface_distance_prtogt_mean,surface_distance_gttopr_spleen,surface_distance_gttopr_liver,surface_distance_gttopr_mean,surface_distance_avg_spleen,surface_distance_avg_liver,surface_distance_avg_mean,target_scan_file
58,2,MC_dropout_quicknat_UKB_v2,1015153_20201_2_0,10,,,0.5435672683236261,0.8420750107774105,0.6928211395505184,,,,,,,,,,,,,Dixon_BH_17s_opp_Dixon_BH_17sb.nii.gz
59,2,MC_dropout_quicknat_UKB_v2,1015416_20201_2_0,10,,,0.8534086156419908,0.8396412368983678,0.8465249262701793,,,,,,,,,,,,,Dixon_BH_17s_opp_Dixon_BH_17s.nii.gz
60,2,MC_dropout_quicknat_UKB_v2,1015437_20201_2_0,10,,,0.6408295087540371,0.8090000508621128,0.724914779808075,,,,,,,,,,,,,Dixon_BH_17s_opp_Dixon_BH_17sb.nii.gz
61,2,MC_dropout_quicknat_UKB_v2,1015918_20201_2_0,10,,,0.7556008146639511,0.8818928314552865,0.8187468230596189,,,,,,,,,,,,,Dixon_BH_17s_opp_Dixon_BH_17sb.nii.gz
62,2,MC_dropout_quicknat_UKB_v2,1016258_20201_2_0,10,,,0.6282108060230293,0.37992051236614943,0.5040656591945893,,,,,,,,,,,,,Dixon_BH_17s_opp_Dixon_BH_17s.nii.gz
63,2,MC_dropout_quicknat_UKB_v2,1016258_20201_2_0,10,,,0.7807275306515351,0.8263907956387342,0.8035591631451346,,,,,,,,,,,,,Dixon_BH_17s_opp_Dixon_BH_17sb.nii.gz
64,2,MC_dropout_quicknat_UKB_v2,1016565_20201_2_0,10,,,0.7546907574704657,0.8015067805123054,0.7780987689913855,,,,,,,,,,,,,Dixon_BH_17s_opp_Dixon_BH_17s.nii.gz
65,2,MC_dropout_quicknat_UKB_v2,1016667_20201_2_0,10,,,0.66721044045677,0.8231035776556535,0.7451570090562117,,,,,,,,,,,,,Dixon_BH_17s_opp_Dixon_BH_17sb.nii.gz
66,2,MC_dropout_quicknat_UKB_v2,1017574_20201_2_0,10,,,0.6710858585858586,0.5992034682320728,0.6351446634089657,,,,,,,,,,,,,Dixon_BH_17s_opp_Dixon_BH_17sa.nii.gz
67,2,MC_dropout_quicknat_UKB_v2,1017618_20201_2_0,10,,,0.7956341738803161,0.8204192021636241,0.8080266880219701,,,,,,,,,,,,,Dixon_BH_17s_opp_Dixon_BH_17sb.nii.gz
68,2,MC_dropout_quicknat_UKB_v2,1017692_20201_2_0,10,,,0.6370849250661181,0.8530311048391839,0.7450580149526508,,,,,,,,,,,,,Dixon_BH_17s_opp_Dixon_BH_17s.nii.gz
